LR	Tumor-NK	Tumor-MDSC	NK-Tumor	NK-MDSC	MDSC-NK	MDSC-Tumor
TNFSF10-TNFRSF10B	0.009	0.013	0.1	0.042	0.01	0.072
TNFSF11-TNFRSF11A	0.005	0.005	0.01	0.01	0.006	0.006
TNFSF11-TNFRSF11B	0.005	0.005	0.049	0.01	0.007	0.046
TNFSF12-TNFRSF25	0.049	0.048	0.112	0.114	0.009	0.005
TNFSF13-TNFRSF13B	0.013	0.036	0.007	0.028	0.028	0.03
TNFSF13-TNFRSF17	0	0	0	0	0	0
TNFSF13B-TNFRSF17	0	0	0	0	0	0
TNFSF13B-TNFRSF13B	0.013	0.036	0.007	0.028	0.028	0.03
TNFSF13B-TNFRSF13C	0.02	0.02	0.007	0.013	0.036	0.03
TNFSF14-LTBR	0.01	0.076	0.206	0.088	0.081	0.264
TNFSF14-TNFRSF14	0.006	0.007	0.019	0.02	0.077	0.076
TNFSF15-TNFRSF25	0.007	0.005	0	0	0	0
TNFSF18-TNFRSF18	0	0	0	0	0	0
TNFSF4-TNFRSF4	0.046	0.052	0.02	0.028	0.02	0.018
TNFSF8-TNFRSF8	0.008	0.009	0.012	0.013	0.012	0.012
TNFSF9-TNFRSF9	0.212	0.022	0.039	0.036	0.214	0.027
XCL1-XCR1	0	0.02	0.398	0.411	0	0.012
