LR	Tumor-NK	Tumor-MDSC	NK-Tumor	NK-MDSC	MDSC-NK	MDSC-Tumor
CCL7-CCR1	0	1.037	0	1.035	0	0
CCL7-CCR3	0	0.01	0	0.008	0	0
CCL7-CCR2	0.317	0	0	0	0.319	0
CCL8-CCR3	0	0.009	0	0.008	0	0
CD160-TNFRSF14	0	0	0.056	0.059	0	0
CD274-PDCD1	0	0	0	0	0.363	0.362
CD274-CD80	0	0.551	0	0.474	0	0
CD2-CD48	0.288	0	0.264	0.274	0.316	0
CD244-CD48	0.27	0	0	0	0.358	0
CD70-CD27	0.202	0	0	0	0	0
CD80-CD28	0	0	0	0	0.617	0.394
CD80-CTLA4	0	0	0	0	0.416	0.392
CD84-CD84	0	0	0	0.488	0.488	0
CD86-CD28	0.26	0	0	0	0.282	0
CD86-CTLA4	0	0	0	0	0.08	0
CSF1-CSF1R	0	0.143	0	0	0.178	0.189
CX3CL1-CX3CR1	0.098	0.05	0	0	0.056	0
CXCL1-CXCR1	0	0.097	0	0	0	0
CXCL1-CXCR2	0	0.87	0	0.796	0	0
CXCL10-CXCR3	0.182	0.154	0	0	0.1	0
CXCL12-CXCR4	0.654	0.569	0	0.568	0.655	0
CXCL13-CXCR5	0	0.016	0	0.016	0	0
CXCL2-CXCR2	0	0	0	0	2.047	2.103
CXCL3-CXCR2	0	1.177	0	0.796	0	0
CXCL5-CXCR2	0	0.909	0	0.788	0	0
CXCL9-CXCR3	0.114	0.086	0	0	0.05	0
EPO-EPOR	0	0	0	0	0	0
HAVCR1-HAVCR1	0	0	0	0	0	0
LGALS9-HAVCR2	0	0	0.208	0.244	0	0
LTA-TNFRSF1A	0	0.519	0	0.521	0	0
LTA-TNFRSF14	0	0	0	0.007	0	0
LY9-LY9	0.161	0	0.161	0.158	0.158	0
MSMB-MST1R	0	0	0	0	0	0
NECTIN1-CD96	0.129	0	0	0	0.105	0
NECTIN2-CD226	0.122	0.08	0	0	0.049	0
NECTIN2-TIGIT	0.092	0.077	0	0	0	0
NECTIN3-TIGIT	0.062	0.048	0	0	0	0
PDCD1LG2-PDCD1	0.2	0.2	0	0	0	0
PF4-CXCR3	0.038	0	0	0	0.037	0
PPBP-CXCR2	0	0.802	0	0	0	0
PVR-TIGIT	0.1	0.084	0	0	0	0
PVR-CD96	0.186	0.095	0	0	0.128	0
SLAMF1-SLAMF1	0	0	0	0.019	0.019	0
SLAMF6-SLAMF6	0	0	0	0.059	0.059	0
SLAMF7-SLAMF7	0.113	0	0.113	0.116	0.116	0
TGFB1-TGFBR1	0	0	0.78	0.742	0	0
TGFB2-TGFBR2	0.244	0	0	0	0.242	0
TGFB3-TGFBR3	0	0	0.013	0.012	0	0
TIMD4-HAVCR1	0	0	0	0	0	0
TNFSF10-TNFRSF10B	0	0	0.1	0.042	0	0.072
TNFSF11-TNFRSF11A	0	0	0.01	0.01	0	0
TNFSF11-TNFRSF11B	0	0	0.049	0	0	0.046
TNFSF12-TNFRSF25	0	0	0.112	0.114	0	0
TNFSF13-TNFRSF13B	0	0.036	0	0.028	0.028	0.03
TNFSF13-TNFRSF17	0	0	0	0	0	0
TNFSF13B-TNFRSF17	0	0	0	0	0	0
TNFSF13B-TNFRSF13B	0	0.036	0	0.028	0.028	0.03
TNFSF13B-TNFRSF13C	0	0	0	0	0.036	0.03
TNFSF14-LTBR	0	0	0.206	0	0	0.264
TNFSF14-TNFRSF14	0	0	0	0	0.077	0.076
TNFSF15-TNFRSF25	0.007	0.005	0	0	0	0
TNFSF18-TNFRSF18	0	0	0	0	0	0
TNFSF4-TNFRSF4	0.046	0.052	0	0	0	0
TNFSF8-TNFRSF8	0	0	0	0.013	0	0
TNFSF9-TNFRSF9	0.212	0	0	0	0.214	0
XCL1-XCR1	0	0	0.398	0.411	0	0
