gene	MDSC	NK	Tumor
OSMR	0.004	0.002	0.05
LIFR	0.015	0.003	0.202
IL7R	0.102	0.15	0.055
TNFRSF11B	0.003	0.003	0.081
CSF2RB	1.586	0.014	0.125
IL2RB	0.157	2.704	0.115
TNFRSF13C	0.023	0.022	0.011
TNFRSF17	0	0	0
CD86	0.057	0.009	0.015
CD80	0.728	0.009	0.053
TIGIT	0.002	0.032	0.008
BTLA	0.04	0.013	0.021
CD96	0.023	0.206	0.01
NECTIN3	0.004	0.004	0.093
CCR6	0.006	0.002	0.004
LTB	0.397	0.336	0.208
TNF	0.263	0.017	0.026
LTA	0.007	0.007	0.002
TNFSF9	0.008	0.032	0.003
CD70	0	0	0.001
TNFSF14	0.151	0.035	0.009
CSF1R	0.184	0.005	0.026
CD226	0.009	0.091	0.007
CD274	0.709	0.221	0.374
PDCD1LG2	0.084	0.097	0.383
FAS	0.377	0.045	0.106
CSF2RA	0.632	0.021	0.057
