SYMBOL	ENSEMBL
STAT1	ENSG00000115415
GLS	ENSG00000115419
NAB1	ENSG00000138386
NEMP2	ENSG00000189362
MFSD6	ENSG00000151690
INPP1	ENSG00000151689
HIBCH	ENSG00000198130
MSTN	ENSG00000138379
PMS1	ENSG00000064933
ORMDL1	ENSG00000128699
OSGEPL1	ENSG00000128694
ASNSD1	ENSG00000138381
STK17B	ENSG00000081320
HECW2	ENSG00000138411
CCDC150	ENSG00000144395
GTF3C3	ENSG00000119041
PGAP1	ENSG00000197121
ANKRD44	ENSG00000065413
SF3B1	ENSG00000115524
COQ10B	ENSG00000115520
HSPD1	ENSG00000144381
HSPE1	ENSG00000115541
MOB4	ENSG00000115540
RFTN2	ENSG00000162944
MARS2	ENSG00000247626
BOLL	ENSG00000152430
PLCL1	ENSG00000115896
SATB2	ENSG00000119042
TYW5	ENSG00000162971
MAIP1	ENSG00000162972
SPATS2L	ENSG00000196141
KCTD18	ENSG00000155729
AOX1	ENSG00000138356
BZW1	ENSG00000082153
CLK1	ENSG00000013441
PPIL3	ENSG00000240344
NIF3L1	ENSG00000196290
ORC2	ENSG00000115942
FAM126B	ENSG00000155744
NDUFB3	ENSG00000119013
CFLAR	ENSG00000003402
CASP8	ENSG00000064012
TRAK2	ENSG00000115993
STRADB	ENSG00000082146
C2CD6	ENSG00000155754
TMEM237	ENSG00000155755
MPP4	ENSG00000082126
ALS2	ENSG00000003393
CDK15	ENSG00000138395
FZD7	ENSG00000155760
SUMO1	ENSG00000116030
NOP58	ENSG00000055044
BMPR2	ENSG00000204217
FAM117B	ENSG00000138439
ICA1L	ENSG00000163596
WDR12	ENSG00000138442
CARF	ENSG00000138380
NBEAL1	ENSG00000144426
CYP20A1	ENSG00000119004
ABI2	ENSG00000138443
RAPH1	ENSG00000173166
CD28	ENSG00000178562
CTLA4	ENSG00000163599
ICOS	ENSG00000163600
PARD3B	ENSG00000116117
NRP2	ENSG00000118257
INO80D	ENSG00000114933
NDUFS1	ENSG00000023228
EEF1B2	ENSG00000114942
GPR1	ENSG00000183671
ZDBF2	ENSG00000204186
ADAM23	ENSG00000114948
DYTN	ENSG00000232125
MDH1B	ENSG00000138400
FASTKD2	ENSG00000118246
KLF7	ENSG00000118263
CREB1	ENSG00000118260
METTL21A	ENSG00000144401
CCNYL1	ENSG00000163249
FZD5	ENSG00000163251
PLEKHM3	ENSG00000178385
CRYGD	ENSG00000118231
CRYGC	ENSG00000163254
CRYGA	ENSG00000168582
IDH1	ENSG00000138413
PIKFYVE	ENSG00000115020
PTH2R	ENSG00000144407
MAP2	ENSG00000078018
UNC80	ENSG00000144406
RPE	ENSG00000197713
KANSL1L	ENSG00000144445
ACADL	ENSG00000115361
MYL1	ENSG00000168530
LANCL1	ENSG00000115365
CPS1	ENSG00000021826
IKZF2	ENSG00000030419
SPAG16	ENSG00000144451
BARD1	ENSG00000138376
ABCA12	ENSG00000144452
ATIC	ENSG00000138363
FN1	ENSG00000115414
MREG	ENSG00000118242
PECR	ENSG00000115425
TMEM169	ENSG00000163449
XRCC5	ENSG00000079246
SMARCAL1	ENSG00000138375
ANKAR	ENSG00000151687
RPL37A	ENSG00000197756
IGFBP2	ENSG00000115457
IGFBP5	ENSG00000115461
TNS1	ENSG00000079308
RUFY4	ENSG00000188282
CXCR2	ENSG00000180871
CXCR1	ENSG00000163464
ARPC2	ENSG00000163466
GPBAR1	ENSG00000179921
AAMP	ENSG00000127837
PNKD	ENSG00000127838
TMBIM1	ENSG00000135926
CATIP	ENSG00000158428
SLC11A1	ENSG00000018280
CTDSP1	ENSG00000144579
VIL1	ENSG00000127831
USP37	ENSG00000135913
CNOT9	ENSG00000144580
PLCD4	ENSG00000115556
BCS1L	ENSG00000074582
RNF25	ENSG00000163481
STK36	ENSG00000163482
TTLL4	ENSG00000135912
CYP27A1	ENSG00000135929
PRKAG3	ENSG00000115592
WNT6	ENSG00000115596
WNT10A	ENSG00000135925
CDK5R2	ENSG00000171450
FEV	ENSG00000163497
CRYBA2	ENSG00000163499
CFAP65	ENSG00000181378
IHH	ENSG00000163501
NHEJ1	ENSG00000187736
SLC23A3	ENSG00000213901
CNPPD1	ENSG00000115649
RETREG2	ENSG00000144567
ZFAND2B	ENSG00000158552
ABCB6	ENSG00000115657
ATG9A	ENSG00000198925
ANKZF1	ENSG00000163516
GLB1L	ENSG00000163521
STK16	ENSG00000115661
TUBA4A	ENSG00000127824
DNAJB2	ENSG00000135924
PTPRN	ENSG00000054356
RESP18	ENSG00000182698
DNPEP	ENSG00000123992
DES	ENSG00000175084
SPEG	ENSG00000072195
GMPPA	ENSG00000144591
ASIC4	ENSG00000072182
CHPF	ENSG00000123989
OBSL1	ENSG00000124006
TMEM198	ENSG00000188760
INHA	ENSG00000123999
STK11IP	ENSG00000144589
SLC4A3	ENSG00000114923
EPHA4	ENSG00000116106
PAX3	ENSG00000135903
SGPP2	ENSG00000163082
FARSB	ENSG00000116120
MOGAT1	ENSG00000124003
ACSL3	ENSG00000123983
KCNE4	ENSG00000152049
SCG2	ENSG00000171951
AP1S3	ENSG00000152056
WDFY1	ENSG00000085449
MRPL44	ENSG00000135900
SERPINE2	ENSG00000135919
FAM124B	ENSG00000124019
CUL3	ENSG00000036257
DOCK10	ENSG00000135905
NYAP2	ENSG00000144460
IRS1	ENSG00000169047
RHBDD1	ENSG00000144468
COL4A4	ENSG00000081052
COL4A3	ENSG00000169031
MFF	ENSG00000168958
TM4SF20	ENSG00000168955
AGFG1	ENSG00000173744
SLC19A3	ENSG00000135917
CCL20	ENSG00000115009
DAW1	ENSG00000123977
SPHKAP	ENSG00000153820
PID1	ENSG00000153823
DNER	ENSG00000187957
TRIP12	ENSG00000153827
FBXO36	ENSG00000153832
SLC16A14	ENSG00000163053
SP110	ENSG00000135899
SP140	ENSG00000079263
SP100	ENSG00000067066
CAB39	ENSG00000135932
ITM2C	ENSG00000135916
GPR55	ENSG00000135898
PSMD1	ENSG00000173692
HTR2B	ENSG00000135914
ARMC9	ENSG00000135931
B3GNT7	ENSG00000156966
NCL	ENSG00000115053
NMUR1	ENSG00000171596
PTMA	ENSG00000187514
PDE6D	ENSG00000156973
COPS7B	ENSG00000144524
NPPC	ENSG00000163273
DIS3L2	ENSG00000144535
ALPI	ENSG00000163295
ECEL1	ENSG00000171551
PRSS56	ENSG00000237412
CHRND	ENSG00000135902
CHRNG	ENSG00000196811
EIF4E2	ENSG00000135930
EFHD1	ENSG00000115468
GIGYF2	ENSG00000204120
KCNJ13	ENSG00000115474
NGEF	ENSG00000066248
NEU2	ENSG00000115488
INPP5D	ENSG00000168918
ATG16L1	ENSG00000085978
SAG	ENSG00000130561
DGKD	ENSG00000077044
USP40	ENSG00000085982
UGT1A10	ENSG00000242515
UGT1A9	ENSG00000241119
UGT1A8	ENSG00000242366
UGT1A5	ENSG00000240224
DNAJB3	ENSG00000227802
UGT1A1	ENSG00000241635
MROH2A	ENSG00000185038
HJURP	ENSG00000123485
TRPM8	ENSG00000144481
SPP2	ENSG00000072080
ARL4C	ENSG00000188042
SH3BP4	ENSG00000130147
AGAP1	ENSG00000157985
GBX2	ENSG00000168505
ASB18	ENSG00000182177
ACKR3	ENSG00000144476
COPS8	ENSG00000198612
COL6A3	ENSG00000163359
MLPH	ENSG00000115648
PRLH	ENSG00000071677
RAB17	ENSG00000124839
LRRFIP1	ENSG00000124831
RBM44	ENSG00000177483
RAMP1	ENSG00000132329
UBE2F	ENSG00000184182
SCLY	ENSG00000132330
ESPNL	ENSG00000144488
KLHL30	ENSG00000168427
ERFE	ENSG00000178752
ILKAP	ENSG00000132323
HES6	ENSG00000144485
PER2	ENSG00000132326
TRAF3IP1	ENSG00000204104
ASB1	ENSG00000065802
TWIST2	ENSG00000233608
HDAC4	ENSG00000068024
NDUFA10	ENSG00000130414
COPS9	ENSG00000172428
OTOS	ENSG00000178602
GPC1	ENSG00000063660
ANKMY1	ENSG00000144504
DUSP28	ENSG00000188542
RNPEPL1	ENSG00000142327
CAPN10	ENSG00000142330
GPR35	ENSG00000178623
KIF1A	ENSG00000130294
AGXT	ENSG00000172482
CROCC2	ENSG00000226321
SNED1	ENSG00000162804
MTERF4	ENSG00000122085
PASK	ENSG00000115687
PPP1R7	ENSG00000115685
ANO7	ENSG00000146205
HDLBP	ENSG00000115677
FARP2	ENSG00000006607
STK25	ENSG00000115694
BOK	ENSG00000176720
THAP4	ENSG00000176946
ATG4B	ENSG00000168397
DTYMK	ENSG00000168393
ING5	ENSG00000168395
D2HGDH	ENSG00000180902
GAL3ST2	ENSG00000154252
NEU4	ENSG00000204099
PDCD1	ENSG00000188389
FAM174A	ENSG00000174132
ST8SIA4	ENSG00000113532
SLCO4C1	ENSG00000173930
PPIP5K2	ENSG00000145725
GIN1	ENSG00000145723
PAM	ENSG00000145730
CDH20	ENSG00000101542
RNF152	ENSG00000176641
PIGN	ENSG00000197563
TNFRSF11A	ENSG00000141655
ZCCHC2	ENSG00000141664
PHLPP1	ENSG00000081913
BCL2	ENSG00000171791
KDSR	ENSG00000119537
VPS4B	ENSG00000119541
SERPINB5	ENSG00000206075
SERPINB12	ENSG00000166634
SERPINB11	ENSG00000206072
SERPINB7	ENSG00000166396
SERPINB2	ENSG00000197632
SERPINB8	ENSG00000166401
CDH19	ENSG00000071991
DSEL	ENSG00000171451
TSN	ENSG00000211460
NIFK	ENSG00000155438
CLASP1	ENSG00000074054
TFCP2L1	ENSG00000115112
GLI2	ENSG00000074047
INHBB	ENSG00000163083
RALB	ENSG00000144118
TMEM185B	ENSG00000226479
EPB41L5	ENSG00000115109
PTPN4	ENSG00000088179
TMEM177	ENSG00000144120
CFAP221	ENSG00000163075
SCTR	ENSG00000080293
TMEM37	ENSG00000171227
DBI	ENSG00000155368
STEAP3	ENSG00000115107
C1QL2	ENSG00000144119
MARCO	ENSG00000019169
EN1	ENSG00000163064
INSIG2	ENSG00000125629
CCDC93	ENSG00000125633
DDX18	ENSG00000088205
DPP10	ENSG00000175497
ACTR3	ENSG00000115091
SLC35F5	ENSG00000115084
GPR39	ENSG00000183840
LYPD1	ENSG00000150551
NCKAP5	ENSG00000176771
MGAT5	ENSG00000152127
TMEM163	ENSG00000152128
ACMSD	ENSG00000153086
CCNT2	ENSG00000082258
MAP3K19	ENSG00000176601
RAB3GAP1	ENSG00000115839
ZRANB3	ENSG00000121988
R3HDM1	ENSG00000048991
UBXN4	ENSG00000144224
LCT	ENSG00000115850
MCM6	ENSG00000076003
CXCR4	ENSG00000121966
THSD7B	ENSG00000144229
CD55	ENSG00000196352
PFKFB2	ENSG00000123836
YOD1	ENSG00000180667
FCAMR	ENSG00000162897
PIGR	ENSG00000162896
FCMR	ENSG00000162894
IL24	ENSG00000162892
IL20	ENSG00000162891
IL19	ENSG00000142224
IL10	ENSG00000136634
MAPKAPK2	ENSG00000162889
DYRK3	ENSG00000143479
EIF2D	ENSG00000143486
RASSF5	ENSG00000266094
IKBKE	ENSG00000263528
SRGAP2	ENSG00000266028
FAM72A	ENSG00000196550
AVPR1B	ENSG00000198049
CTSE	ENSG00000196188
RAB7B	ENSG00000276600
SLC26A9	ENSG00000174502
PM20D1	ENSG00000162877
SLC41A1	ENSG00000133065
RAB29	ENSG00000117280
NUCKS1	ENSG00000069275
SLC45A3	ENSG00000158715
ELK4	ENSG00000158711
MFSD4A	ENSG00000174514
CDK18	ENSG00000117266
LEMD1	ENSG00000186007
KLHDC8A	ENSG00000162873
NUAK2	ENSG00000163545
TMCC2	ENSG00000133069
DSTYK	ENSG00000133059
RBBP5	ENSG00000117222
TMEM81	ENSG00000174529
CNTN2	ENSG00000184144
NFASC	ENSG00000163531
LRRN2	ENSG00000170382
MDM4	ENSG00000198625
PIK3C2B	ENSG00000133056
PPP1R15B	ENSG00000158615
PLEKHA6	ENSG00000143850
GOLT1A	ENSG00000174567
KISS1	ENSG00000170498
ETNK2	ENSG00000143845
SOX13	ENSG00000143842
SNRPE	ENSG00000182004
ZC3H11A	ENSG00000058673
LAX1	ENSG00000122188
ATP2B4	ENSG00000058668
OPTC	ENSG00000188770
PRELP	ENSG00000188783
FMOD	ENSG00000122176
BTG2	ENSG00000159388
CHIT1	ENSG00000133063
MYBPH	ENSG00000133055
ADORA1	ENSG00000163485
MYOG	ENSG00000122180
PPFIA4	ENSG00000143847
TMEM183A	ENSG00000163444
CYB5R1	ENSG00000159348
ADIPOR1	ENSG00000159346
KLHL12	ENSG00000117153
RABIF	ENSG00000183155
KDM5B	ENSG00000117139
SYT2	ENSG00000143858
PPP1R12B	ENSG00000077157
UBE2T	ENSG00000077152
LGR6	ENSG00000133067
PTPN7	ENSG00000143851
ARL8A	ENSG00000143862
GPR37L1	ENSG00000170075
ELF3	ENSG00000163435
RNPEP	ENSG00000176393
TIMM17A	ENSG00000134375
LMOD1	ENSG00000163431
SHISA4	ENSG00000198892
IPO9	ENSG00000198700
NAV1	ENSG00000134369
CSRP1	ENSG00000159176
PHLDA3	ENSG00000174307
TNNI1	ENSG00000159173
LAD1	ENSG00000159166
TNNT2	ENSG00000118194
PKP1	ENSG00000081277
IGFN1	ENSG00000163395
TMEM9	ENSG00000116857
CACNA1S	ENSG00000081248
KIF21B	ENSG00000116852
GPR25	ENSG00000170128
CAMSAP2	ENSG00000118200
DDX59	ENSG00000118197
KIF14	ENSG00000118193
NR5A2	ENSG00000116833
PTPRC	ENSG00000081237
ATP6V1G3	ENSG00000151418
NEK7	ENSG00000151414
LHX9	ENSG00000143355
DENND1B	ENSG00000213047
CRB1	ENSG00000134376
ZBTB41	ENSG00000177888
ASPM	ENSG00000066279
F13B	ENSG00000143278
CFHR2	ENSG00000080910
CFH	ENSG00000000971
KCNT2	ENSG00000162687
CDC73	ENSG00000134371
B3GALT2	ENSG00000162630
GLRX2	ENSG00000023572
UCHL5	ENSG00000116750
RGS2	ENSG00000116741
RGS13	ENSG00000127074
RGS1	ENSG00000090104
RGS18	ENSG00000150681
BRINP3	ENSG00000162670
PLA2G4A	ENSG00000116711
PTGS2	ENSG00000073756
PDC	ENSG00000116703
TPR	ENSG00000047410
PRG4	ENSG00000116690
HMCN1	ENSG00000143341
IVNS1ABP	ENSG00000116679
SWT1	ENSG00000116668
TRMT1L	ENSG00000121486
RNF2	ENSG00000121481
EDEM3	ENSG00000116406
TSEN15	ENSG00000198860
COLGALT2	ENSG00000198756
RGL1	ENSG00000143344
APOBEC4	ENSG00000173627
ARPC5	ENSG00000162704
NCF2	ENSG00000116701
SMG7	ENSG00000116698
NMNAT2	ENSG00000157064
LAMC2	ENSG00000058085
LAMC1	ENSG00000135862
SHCBP1L	ENSG00000157060
DHX9	ENSG00000135829
NPL	ENSG00000135838
RGS8	ENSG00000135824
RGS16	ENSG00000143333
RNASEL	ENSG00000135828
RGSL1	ENSG00000121446
GLUL	ENSG00000135821
CACNA1E	ENSG00000198216
IER5	ENSG00000162783
MR1	ENSG00000153029
STX6	ENSG00000135823
XPR1	ENSG00000143324
ACBD6	ENSG00000230124
LHX4	ENSG00000121454
QSOX1	ENSG00000116260
CEP350	ENSG00000135837
TOR1AIP1	ENSG00000143337
TOR1AIP2	ENSG00000169905
FAM163A	ENSG00000143340
TDRD5	ENSG00000162782
NPHS2	ENSG00000116218
AXDND1	ENSG00000162779
SOAT1	ENSG00000057252
ABL2	ENSG00000143322
TOR3A	ENSG00000186283
FAM20B	ENSG00000116199
RALGPS2	ENSG00000116191
ANGPTL1	ENSG00000116194
TEX35	ENSG00000240021
RASAL2	ENSG00000075391
SEC16B	ENSG00000120341
BRINP2	ENSG00000198797
ASTN1	ENSG00000152092
PAPPA2	ENSG00000116183
COP1	ENSG00000143207
TNR	ENSG00000116147
TNN	ENSG00000120332
MRPS14	ENSG00000120333
CACYBP	ENSG00000116161
RABGAP1L	ENSG00000152061
RC3H1	ENSG00000135870
SERPINC1	ENSG00000117601
ZBTB37	ENSG00000185278
DARS2	ENSG00000117593
CENPL	ENSG00000120334
KLHL20	ENSG00000076321
ANKRD45	ENSG00000183831
TEX50	ENSG00000232113
PRDX6	ENSG00000117592
TNFSF4	ENSG00000117586
TNFSF18	ENSG00000120337
SUCO	ENSG00000094975
PIGC	ENSG00000135845
DNM3	ENSG00000197959
VAMP4	ENSG00000117533
MYOC	ENSG00000034971
MYOCOS	ENSG00000283683
PRRC2C	ENSG00000117523
FMO4	ENSG00000076258
FMO1	ENSG00000010932
FMO2	ENSG00000094963
FMO3	ENSG00000007933
PRRX1	ENSG00000116132
GORAB	ENSG00000120370
METTL11B	ENSG00000203740
KIFAP3	ENSG00000075945
SCYL3	ENSG00000000457
METTL18	ENSG00000171806
SELE	ENSG00000007908
SELL	ENSG00000188404
SELP	ENSG00000174175
F5	ENSG00000198734
SLC19A2	ENSG00000117479
CCDC181	ENSG00000117477
BLZF1	ENSG00000117475
NME7	ENSG00000143156
ATP1B1	ENSG00000143153
DPT	ENSG00000143196
XCL1	ENSG00000143184
TBX19	ENSG00000143178
SFT2D2	ENSG00000213064
TIPRL	ENSG00000143155
GPR161	ENSG00000143147
DCAF6	ENSG00000143164
MPC2	ENSG00000143158
ADCY10	ENSG00000143199
MPZL1	ENSG00000197965
RCSD1	ENSG00000198771
CREG1	ENSG00000143162
CD247	ENSG00000198821
POU2F1	ENSG00000143190
DUSP27	ENSG00000198842
GPA33	ENSG00000143167
MAEL	ENSG00000143194
ILDR2	ENSG00000143195
TADA1	ENSG00000152382
POGK	ENSG00000143157
FAM78B	ENSG00000188859
UCK2	ENSG00000143179
TMCO1	ENSG00000143183
ALDH9A1	ENSG00000143149
MGST3	ENSG00000143198
LRRC52	ENSG00000162763
RXRG	ENSG00000143171
LMX1A	ENSG00000162761
PBX1	ENSG00000185630
NUF2	ENSG00000143228
RGS5	ENSG00000143248
RGS4	ENSG00000117152
CCDC190	ENSG00000185860
HSD17B7	ENSG00000132196
DDR2	ENSG00000162733
UAP1	ENSG00000117143
UHMK1	ENSG00000152332
NOS1AP	ENSG00000198929
SPATA46	ENSG00000171722
OLFML2B	ENSG00000162745
ATF6	ENSG00000118217
DUSP12	ENSG00000081721
FCRLB	ENSG00000162746
FCRLA	ENSG00000132185
FCGR2B	ENSG00000072694
CFAP126	ENSG00000188931
SDHC	ENSG00000143252
MPZ	ENSG00000158887
PCP4L1	ENSG00000248485
NR1I3	ENSG00000143257
TOMM40L	ENSG00000158882
APOA2	ENSG00000158874
FCER1G	ENSG00000158869
NDUFS2	ENSG00000158864
ADAMTS4	ENSG00000158859
B4GALT3	ENSG00000158850
PPOX	ENSG00000143224
USP21	ENSG00000143258
UFC1	ENSG00000143222
DEDD	ENSG00000158796
NIT1	ENSG00000158793
PFDN2	ENSG00000143256
KLHDC9	ENSG00000162755
NECTIN4	ENSG00000143217
ARHGAP30	ENSG00000186517
USF1	ENSG00000158773
TSTD1	ENSG00000215845
F11R	ENSG00000158769
ITLN1	ENSG00000179914
CD244	ENSG00000122223
LY9	ENSG00000122224
SLAMF7	ENSG00000026751
CD48	ENSG00000117091
SLAMF1	ENSG00000117090
CD84	ENSG00000066294
SLAMF6	ENSG00000162739
VANGL2	ENSG00000162738
NHLH1	ENSG00000171786
NCSTN	ENSG00000162736
COPA	ENSG00000122218
PEX19	ENSG00000162735
DCAF8	ENSG00000132716
CASQ1	ENSG00000143318
ATP1A4	ENSG00000132681
IGSF8	ENSG00000162729
ATP1A2	ENSG00000018625
KCNJ9	ENSG00000162728
KCNJ10	ENSG00000177807
PIGM	ENSG00000143315
SLAMF9	ENSG00000162723
IGSF9	ENSG00000085552
TAGLN2	ENSG00000158710
CFAP45	ENSG00000213085
VSIG8	ENSG00000243284
SLAMF8	ENSG00000158714
FCRL6	ENSG00000181036
DUSP23	ENSG00000158716
CRP	ENSG00000132693
APCS	ENSG00000132703
FCER1A	ENSG00000179639
ACKR1	ENSG00000213088
CADM3	ENSG00000162706
AIM2	ENSG00000163568
SPTA1	ENSG00000163554
FMN2	ENSG00000155816
GREM2	ENSG00000180875
RGS7	ENSG00000182901
KMO	ENSG00000117009
OPN3	ENSG00000054277
CHML	ENSG00000203668
EXO1	ENSG00000174371
PLD5	ENSG00000180287
CEP170	ENSG00000143702
SDCCAG8	ENSG00000054282
AKT3	ENSG00000117020
ZBTB18	ENSG00000179456
DESI2	ENSG00000121644
COX20	ENSG00000203667
HNRNPU	ENSG00000153187
EFCAB2	ENSG00000203666
KIF26B	ENSG00000162849
SMYD3	ENSG00000185420
TFB2M	ENSG00000162851
CNST	ENSG00000162852
SCCPDH	ENSG00000143653
AHCTF1	ENSG00000153207
CDC42BPA	ENSG00000143776
COQ8A	ENSG00000163050
PSEN2	ENSG00000143801
ITPKB	ENSG00000143772
STUM	ENSG00000203685
PARP1	ENSG00000143799
LIN9	ENSG00000183814
MIXL1	ENSG00000185155
ACBD3	ENSG00000182827
SDE2	ENSG00000143751
LEFTY2	ENSG00000143768
PYCR2	ENSG00000143811
LEFTY1	ENSG00000243709
TMEM63A	ENSG00000196187
EPHX1	ENSG00000143819
NVL	ENSG00000143748
CNIH4	ENSG00000143771
WDR26	ENSG00000162923
CNIH3	ENSG00000143786
CCDC121	ENSG00000176714
DNAH14	ENSG00000185842
LBR	ENSG00000143815
ENAH	ENSG00000154380
SRP9	ENSG00000143742
DEGS1	ENSG00000143753
FBXO28	ENSG00000143756
CAPN2	ENSG00000162909
SUSD4	ENSG00000143502
TLR5	ENSG00000187554
DISP1	ENSG00000154309
BROX	ENSG00000162819
AIDA	ENSG00000186063
MIA3	ENSG00000154305
TAF1A	ENSG00000143498
HHIPL2	ENSG00000143512
DUSP10	ENSG00000143507
HLX	ENSG00000136630
MARC1	ENSG00000186205
MARC2	ENSG00000117791
MARK1	ENSG00000116141
RAB3GAP2	ENSG00000118873
IARS2	ENSG00000067704
BPNT1	ENSG00000162813
SLC30A10	ENSG00000196660
LYPLAL1	ENSG00000143353
TGFB2	ENSG00000092969
RRP15	ENSG00000067533
SPATA17	ENSG00000162814
GPATCH2	ENSG00000092978
ESRRG	ENSG00000196482
USH2A	ENSG00000042781
KCTD3	ENSG00000136636
KCNK2	ENSG00000082482
CENPF	ENSG00000117724
PTPN14	ENSG00000152104
SMYD2	ENSG00000143499
PROX1	ENSG00000117707
RPS6KC1	ENSG00000136643
ANGEL2	ENSG00000174606
VASH2	ENSG00000143494
FLVCR1	ENSG00000162769
SPATA45	ENSG00000185523
TATDN3	ENSG00000203705
NSL1	ENSG00000117697
BATF3	ENSG00000123685
FAM71A	ENSG00000162771
ATF3	ENSG00000162772
NENF	ENSG00000117691
PPP2R5A	ENSG00000066027
DTL	ENSG00000143476
INTS7	ENSG00000143493
LPGAT1	ENSG00000123684
NEK2	ENSG00000117650
SLC30A1	ENSG00000170385
RD3	ENSG00000198570
TRAF5	ENSG00000082512
RCOR3	ENSG00000117625
KCNH1	ENSG00000143473
